Algorithm,Cores,Speedup
ParGIA,2,1.4
ParGIA,3,1.6
ParGIA,4,1.9
ParGIA,5,2.1
ParGIA,6,2.2
ParGIA,7,2.3
ParGIA,8,2.5
ParGIA,9,2.6
ParGIA,10,2.6
ParGIA,11,2.7
ParGIA,12,3
ParGIA,13,3
ParGIA,14,3
ParGIA,15,3
ParGIA,16,3
OS-GIA,2,2.3
OS-GIA,3,1.3
OS-GIA,4,1.9
OS-GIA,5,2.5
OS-GIA,6,2.2
OS-GIA,7,2.2
OS-GIA,8,3.4
OS-GIA,9,2.9
OS-GIA,10,3.5
OS-GIA,11,2.8
OS-GIA,12,3.5
OS-GIA,13,4.3
OS-GIA,14,3
OS-GIA,15,4
OS-GIA,16,4.7
OS-ParGIA,4,2.4
OS-ParGIA,6,1.8
OS-ParGIA,8,2.6
OS-ParGIA,10,3.4
OS-ParGIA,12,2.8
OS-ParGIA,14,2.9
OS-ParGIA,16,4.2
FS-GIA,2,2.1
FS-GIA,4,3.5
FS-GIA,8,4.8
FS-GIA,16,6.8
FS-ParGIA,4,2
FS-ParGIA,8,4.4
FS-ParGIA,16,5.5
