Algorithm,Cores,Speedup
ParGIA,2,1.4
ParGIA,3,1.7
ParGIA,4,1.8
ParGIA,5,2
ParGIA,6,2.1
ParGIA,7,2
ParGIA,8,2
ParGIA,9,2.1
ParGIA,10,2.1
ParGIA,11,2.2
ParGIA,12,2.3
ParGIA,13,2.2
ParGIA,14,2.3
ParGIA,15,2.4
ParGIA,16,2.4
OS-GIA,2,1.3
OS-GIA,3,0.5
OS-GIA,4,1.1
OS-GIA,5,0.6
OS-GIA,6,1.1
OS-GIA,7,0.6
OS-GIA,8,1.2
OS-GIA,9,0.8
OS-GIA,10,1.2
OS-GIA,11,0.8
OS-GIA,12,1.2
OS-GIA,13,1
OS-GIA,14,1.6
OS-GIA,15,1.1
OS-GIA,16,1.5
OS-ParGIA,4,2.3
OS-ParGIA,6,0.8
OS-ParGIA,8,2.2
OS-ParGIA,10,0.9
OS-ParGIA,12,2.2
OS-ParGIA,14,1.1
OS-ParGIA,16,2.1
FS-GIA,2,2.8
FS-GIA,4,7.6
FS-GIA,8,16.3
FS-GIA,16,29.5
FS-ParGIA,4,3.3
FS-ParGIA,8,9.1
FS-ParGIA,16,16.5
